DNS.aa,DNS.ad,DNS.an,DNS.ancount,DNS.ar,DNS.arcount,DNS.cd,DNS.id,DNS.length,DNS.ns,DNS.nscount,DNS.opcode,DNS.qd,DNS.qdcount,DNS.qr,DNS.ra,DNS.rcode,DNS.rd,DNS.tc,DNS.z,Ether.dst,Ether.src,Ether.type,IP.chksum,IP.dst,IP.flags,IP.frag,IP.id,IP.ihl,IP.len,IP.options,IP.proto,IP.src,IP.tos,IP.ttl,IP.version,IPv4,TCP.ack,TCP.chksum,TCP.dataofs,TCP.dport,TCP.flags,TCP.options,TCP.reserved,TCP.seq,TCP.sport,TCP.urgptr,TCP.window,UDP.chksum,UDP.dport,UDP.len,UDP.sport,packet_len,timestamp
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18821,00:00:0a:00:01:02,DF,0,46676,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18821,8,5001,DF,,0,253614120,44576,0,74,,,,,9514,1742994109.293818
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18820,00:00:0a:00:01:02,DF,0,46677,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18820,8,5001,DF,,0,253623568,44576,0,74,,,,,9514,1742994109.293820
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18819,00:00:0a:00:01:02,DF,0,46678,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18819,8,5001,DF,,0,253633016,44576,0,74,,,,,9514,1742994109.328958
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18818,00:00:0a:00:01:02,DF,0,46679,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18818,8,5001,DF,,0,253642464,44576,0,74,,,,,9514,1742994109.328960
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18817,00:00:0a:00:01:02,DF,0,46680,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18817,8,5001,DF,,0,253651912,44576,0,74,,,,,9514,1742994109.328987
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,20108,00:00:0a:00:01:02,DF,0,46681,5,8208,,6,00:00:0a:00:01:01,0,64,4,,4257921081,20108,8,5001,DF,,0,253661360,44576,0,74,,,,,8222,1742994109.328988
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18815,00:00:0a:00:01:02,DF,0,46682,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18815,8,5001,DF,,0,253669516,44576,0,74,,,,,9514,1742994110.298098
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18814,00:00:0a:00:01:02,DF,0,46683,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18814,8,5001,DF,,0,253678964,44576,0,74,,,,,9514,1742994110.298138
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18813,00:00:0a:00:01:02,DF,0,46684,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18813,8,5001,DF,,0,253688412,44576,0,74,,,,,9514,1742994110.298480
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18812,00:00:0a:00:01:02,DF,0,46685,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18812,8,5001,DF,,0,253697860,44576,0,74,,,,,9514,1742994110.298482
